Natural_Gas_Vol.,Natural_Gas_Price_MA_50,Natural_Gas_Price_EMA_12,Natural_Gas_Price_Volatility_30,Natural_Gas_Price_Lag_7,Natural_Gas_Price_Lag_30,Natural_Gas_Price_BB_Upper,Natural_Gas_Price_BB_Lower,Natural_Gas_Price_RSI_14,Natural_Gas_Price_ROC_10,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
142520.0,2.82202,2.5982767824229267,0.03386784752838875,2.54,2.945,2.794407447470033,2.433892552529967,54.33403805496831,-7.296137339055786,79.38,3.6575,28726.3,891.3,1807.81,4404.33,14876.47,176.57,225.6,320.4,22.535,128.7,434.86,537497.0,415.45,135.07,294.29,1928.3
158890.0,2.815,2.6076188158963225,0.03245396358984754,2.519,2.764,2.7919817898413166,2.434218210158684,54.0913921360255,4.02973395931141,80.99,3.6675,29195.3,892.2,1828.98,4437.86,15037.65,177.45,232.96,321.86,22.656,129.78,439.4,538107.0,423.7,137.67,301.95,1935.2
93500.0,2.8114799999999995,2.6364466903738113,0.032959072226314376,2.497,2.656,2.8038053456247916,2.4275946543752083,51.67785234899327,8.375339278790218,82.51,3.7255,29426.7,906.8,1845.51,4489.72,15205.58,179.46,239.76,324.04,22.708,131.33,437.53,543150.0,427.78,140.57,306.19,1944.0
163960.0,2.80836,2.6569933533932253,0.032985305396493365,2.56,2.639,2.824067820680185,2.4235321793198152,50.10917030567688,9.055118110236226,83.19,3.719,29420.8,914.6,1848.88,4464.05,15028.07,177.79,242.65,321.01,22.743,129.56,408.55,542900.0,421.66,138.41,301.64,1946.6
230510.0,2.8056400000000004,2.673302068255806,0.03299225574692404,2.632,2.637,2.8411022570631665,2.4222977429368333,48.156424581005595,9.68638348551012,82.82,3.765,29449.0,914.8,1852.46,4468.83,15128.84,177.97,245.34,322.93,22.821,129.69,423.88,543680.0,429.98,138.56,305.74,1948.9
239950.0,2.8056799999999997,2.717255596216451,0.035201430889084305,2.551,2.61,2.904269133104068,2.397130866895932,73.67802585193888,18.502202643171817,84.4,3.7835,29578.0,892.7,1855.36,4467.71,15101.71,178.19,242.19,322.23,22.731,129.66,425.54,545280.0,428.9,137.85,305.21,1950.6
186800.0,2.8001,2.7264470429523815,0.03626774960456547,2.621,2.733,2.9145244760607065,2.4135755239392944,59.8019801980198,8.476562499999996,82.92,3.7665,29777.4,904.45,1856.24,4499.38,15273.05,179.8,249.7,326.05,22.807,131.4,446.64,553101.0,438.3,139.94,312.64,1959.9
228910.0,2.7930200000000003,2.7262244209597073,0.03559560643941694,2.592,2.848,2.9199709578581765,2.422429042141823,59.04203323558163,3.5334346504559244,81.94,3.835,29204.2,926.9,1829.11,4518.44,15407.85,178.85,251.45,330.11,23.232,131.53,454.17,551920.0,440.76,142.22,316.56,1970.0
104010.0,2.78238,2.7032668177351367,0.03614769876271251,2.659,2.728,2.9098539839376887,2.413746016062312,52.521739130434774,1.0192081536652298,82.82,3.8675,29105.5,928.5,1830.24,4478.03,15274.92,181.99,253.86,327.78,23.716,128.11,446.8,533600.0,431.6,139.57,310.73,1976.1
139150.0,2.7689599999999994,2.681994999622039,0.03572391885233234,2.795,2.644,2.898014107946351,2.4052858920536493,52.98245614035088,-2.1365890881342997,81.55,3.8995,29189.3,921.8,1835.98,4501.89,15353.54,191.17,259.32,326.66,23.697,128.45,445.15,541000.0,431.0,128.91,313.19,1968.8
147610.0,2.75162,2.6504573073724944,0.03593147416948717,2.77,2.708,2.884012282164364,2.3873877178356357,46.437768240343345,-4.43672839506174,79.49,3.8435,29173.7,930.4,1840.21,4513.39,15370.74,192.58,254.11,327.5,23.872,128.38,442.69,533800.0,429.7,128.21,314.31,1975.0
135520.0,2.7352800000000004,2.636540798545957,0.0364824692733671,2.763,2.68,2.883948297504191,2.387851702495809,46.93877551020408,-3.7232042121098097,81.37,3.9085,29712.2,940.4,1874.21,4576.73,15718.01,195.6,261.07,336.34,24.326,131.55,465.07,534400.0,438.62,131.69,322.71,1978.8
97880.0,2.7203200000000005,2.636149906461964,0.03661996788202045,2.959,2.743,2.8852575296583645,2.392042470341635,53.55004277159965,-5.760286225402512,81.8,4.008,29232.4,958.6,1856.17,4588.96,15757.0,196.45,267.43,335.92,24.972,132.72,467.29,535400.0,438.97,133.68,318.6,2009.2
136510.0,2.7055599999999997,2.6364345362370463,0.03545510597988101,2.777,2.608,2.885759543903384,2.401340456096616,50.77062556663643,-4.76534296028881,80.58,3.9265,29315.0,943.7,1874.23,4582.23,15750.93,195.83,266.44,338.37,24.495,132.58,467.5,533113.0,425.78,132.21,325.48,1999.9
31474.0,2.6886400000000004,2.6142138383544236,0.0369184635538467,2.725,2.605,2.8876123061298897,2.39678769387011,45.901639344262286,-9.8081795150199,80.09,3.8755,29222.7,945.0,1861.32,4537.41,15464.93,193.22,255.71,330.72,24.243,129.4,459.0,531650.0,413.17,128.25,311.71,1965.3
