Crude_oil_Vol.,Crude_oil_Price_MA_50,Crude_oil_Price_EMA_12,Crude_oil_Price_Volatility_30,Crude_oil_Price_Lag_7,Crude_oil_Price_Lag_30,Crude_oil_Price_BB_Upper,Crude_oil_Price_BB_Lower,Crude_oil_Price_RSI_14,Crude_oil_Price_ROC_10,Natural_Gas_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
115870.0,86.26440000000001,81.96671752094129,0.013326920291614907,81.63,89.23,93.34530238517792,76.31269761482207,22.64779350541214,-6.886607451839888,2.632,3.7465,26126.0,910.4,1667.6,4399.77,14936.69,175.84,231.28,321.88,23.659,128.37,469.67,534700.0,408.29,134.68,289.9,1923.0
128090.0,86.2432,81.85645328695031,0.013443331487939676,81.16,88.82,92.36794588500328,76.26705411499671,24.594155844155836,-5.026300409117468,2.551,3.706,26053.2,916.25,1661.26,4369.71,14694.84,174.49,215.49,316.48,22.733,127.46,432.99,535817.0,404.53,133.22,283.25,1916.5
235580.0,86.1402,81.63084508895795,0.01264467152595366,80.1,90.79,91.42462207447106,76.17237792552892,24.162679425837325,-3.874207820160225,2.621,3.6915,26635.7,900.15,1683.89,4370.36,14715.81,174.0,219.22,316.88,22.715,129.92,433.43,535821.0,403.0,133.98,285.09,1915.2
325400.0,86.0636,81.28456122911827,0.012449278123572806,79.83,91.71,90.50690672313378,76.01209327686622,18.322981366459615,-2.756339581036382,2.592,3.6575,28726.3,891.3,1807.81,4404.33,14876.47,176.57,225.6,320.4,22.535,128.7,434.86,537497.0,415.45,135.07,294.29,1928.3
303210.0,85.9756,81.23924411694622,0.012363905986839008,79.05,93.68,89.75224526613474,76.01375473386528,29.10557184750732,-0.20946278955150666,2.659,3.6675,29195.3,892.2,1828.98,4437.86,15037.65,177.45,232.96,321.86,22.656,129.78,439.4,538107.0,423.7,137.67,301.95,1935.2
277350.0,85.95100000000001,81.43474502203142,0.011698526720350417,78.89,90.39,88.83733231275843,76.29566768724155,39.15834522111274,3.0087390761548205,2.795,3.7255,29426.7,906.8,1845.51,4489.72,15205.58,179.46,239.76,324.04,22.708,131.33,437.53,543150.0,427.78,140.57,306.19,1944.0
331250.0,85.905,81.7047842494112,0.011835068491965604,80.35,89.68,88.23781561977032,76.4851843802297,48.278560250391244,4.208944006012771,2.77,3.719,29420.8,914.6,1848.88,4464.05,15028.07,177.79,242.65,321.01,22.743,129.56,408.55,542900.0,421.66,138.41,301.64,1946.6
362190.0,85.7864,81.87635590334793,0.011778981205213266,80.72,90.03,87.49014950673367,76.76385049326632,55.33632286995515,4.7691334598355395,2.763,3.765,29449.0,914.8,1852.46,4468.83,15128.84,177.97,245.34,322.93,22.821,129.69,423.88,543680.0,429.98,138.56,305.74,1948.9
478140.0,85.68699999999998,82.26460884129439,0.012424818962149186,81.25,89.63,87.008580681825,76.99841931817501,63.21370309951062,6.984408670300435,2.959,3.7835,29578.0,892.7,1855.36,4467.71,15101.71,178.19,242.19,322.23,22.731,129.66,425.54,545280.0,428.9,137.85,305.21,1950.6
424550.0,85.579,82.36543825032602,0.012616051292879158,80.39,90.28,86.07944359817881,77.46555640182117,61.119873817034716,3.198506533914136,2.777,3.7665,29777.4,904.45,1856.24,4499.38,15273.05,179.8,249.7,326.05,22.807,131.4,446.64,553101.0,438.3,139.94,312.64,1959.9
293040.0,85.48460000000001,82.29998621181433,0.012476532436776145,79.38,91.2,85.17193045821521,77.89806954178478,57.879014189693784,1.5113974231912852,2.725,3.835,29204.2,926.9,1829.11,4518.44,15407.85,178.85,251.45,330.11,23.232,131.53,454.17,551920.0,440.76,142.22,316.56,1970.0
320870.0,85.40780000000001,82.37998833307367,0.012692238730866912,80.99,91.48,84.57697547037698,78.22002452962299,63.973313565604116,1.9323076923076776,2.577,3.8675,29105.5,928.5,1830.24,4478.03,15274.92,181.99,253.86,327.78,23.716,128.11,446.8,533600.0,431.6,139.57,310.73,1976.1
402640.0,85.285,82.2522978202931,0.01285964468290829,82.51,90.77,84.2967761540641,78.2922238459359,59.109589041095866,1.4429655429779809,2.565,3.8995,29189.3,921.8,1835.98,4501.89,15353.54,191.17,259.32,326.66,23.697,128.45,445.15,541000.0,431.0,128.91,313.19,1968.8
